qid,P527
Q120913144,Q135509755
Q120913144,Q135509756
Q120913144,Q135509757
Q120913144,Q135509758
Q120913144,Q135509759
Q120913144,Q135509760
Q120913144,Q135509761
Q120913144,Q135509762
Q120913144,Q135509763
Q120913144,Q135509764
Q120913144,Q135509765
Q120913144,Q135509766
Q120913144,Q135509767
Q120913144,Q135509768
Q120913144,Q135509769
Q120913144,Q135509770
Q120913144,Q135509771
Q120913144,Q135509772
Q120913144,Q135509773
Q120913144,Q135509774
Q120913144,Q135509775
Q120913144,Q135509776
Q120913144,Q135509777
Q120913144,Q135509778
Q120913144,Q135509779
Q120913144,Q135509780
Q120913144,Q135509781
Q120913144,Q135509782
Q120913144,Q135509783
Q120913144,Q135509784
Q120913144,Q135509785
Q120913144,Q135509786
Q120913144,Q135509787
Q120913144,Q135509788
Q120913144,Q135509789
Q120913144,Q135509790
Q120913144,Q135509791
Q120913144,Q135509792
Q120913144,Q135509793
Q120913144,Q135509794
Q120913144,Q135509795
Q120913144,Q135509901
Q120913144,Q135509903
Q120913144,Q135509904
Q120913144,Q135509905
Q120913144,Q135509906
Q120913144,Q135509907
Q120913144,Q135509908
Q120913144,Q135509909
Q120913144,Q135509796
Q120913144,Q135509797
Q120913144,Q135509798
Q120913144,Q135509799
Q120913144,Q135509800
Q120913144,Q135509801
Q120913144,Q135509802
Q120913144,Q135509803
Q120913144,Q135509805
Q120913144,Q135509806
Q120913144,Q135509807
Q120913144,Q135509808
Q120913144,Q135509809
Q120913144,Q135509810
Q120913144,Q135509811
Q120913144,Q135509812
Q120913144,Q135509813
Q120913144,Q135509814
Q120913144,Q135509815
Q120913144,Q135509816
Q120913144,Q135509817
Q120913144,Q135509818
Q120913144,Q135509819
Q120913144,Q135509820
Q120913144,Q135509821
Q120913144,Q135509822
Q120913144,Q135509823
Q120913144,Q135509824
Q120913144,Q135509825
Q120913144,Q135509826
Q120913144,Q135509827
Q120913144,Q135509828
Q120913144,Q135509829
Q120913144,Q135509831
Q120913144,Q135509832
Q120913144,Q135509833
Q120913144,Q135509834
Q120913144,Q135509835
Q120913144,Q135509836
Q120913144,Q135509837
Q120913144,Q135509838
Q120913144,Q135509839
Q120913144,Q135509840
Q120913144,Q135509841
Q120913144,Q135509842
Q120913144,Q135509843
Q120913144,Q135509844
Q120913144,Q135509845
Q120913144,Q135509846
Q120913144,Q135509847
Q120913144,Q135509848
Q120913144,Q135509849
Q120913144,Q135509850
Q120913144,Q135509851
Q120913144,Q135509852
Q120913144,Q135509853
Q120913144,Q135509854
Q120913144,Q135509855
Q120913144,Q135509856
Q120913144,Q135509857
Q120913144,Q135509858
Q120913144,Q135509859
Q120913144,Q135509860
Q120913144,Q135509861
Q120913144,Q135509862
Q120913144,Q135509863
Q120913144,Q135509864
Q120913144,Q135509865
Q120913144,Q135509866
Q120913144,Q135509867
Q120913144,Q135509868
Q120913144,Q135509869
Q120913144,Q135509870
Q120913144,Q135509871
Q120913144,Q135509872
Q120913144,Q135509874
Q120913144,Q135509875
Q120913144,Q135509876
Q120913144,Q135509877
Q120913144,Q135509878
Q120913144,Q135509879
Q120913144,Q135509880
Q120913144,Q135509881
Q120913144,Q135509882
Q120913144,Q135509883
Q120913144,Q135509884
Q120913144,Q135509885
Q120913144,Q135509886
Q120913144,Q135509888
Q120913144,Q135509889
Q120913144,Q135509890
Q120913144,Q135509892
Q120913144,Q135509893
Q120913144,Q135509894
Q120913144,Q135509895
Q120913144,Q135509896
Q120913144,Q135509897
Q120913144,Q135509898
Q120913144,Q135509899
Q120913144,Q135509900
